🔵 Revenu (6);
1. ;Salaire
2. ;Prime
3. ;Remboursement
4. ;CAF
;GAIN Jeux
5. ;Vente
;Versement par Carte 
6. ;Autres revenus
🔴 Dépense (15);
7. ;Courses
8. ;Restaurants
9. ;Loisirs
10. ;Enfants
11. ;Essence
12. ;Abonnements
13. ;Impôts
14. ;Santé
15. ;Cadeaux
17. ;Vacances
18. ;Voiture
19. ;Maison
20. ;Épargne
21. ;Autres
22. ;Loyer / Crédit
23. ;Électricité
24. ;Eau
25. ;Gaz
26. ;Internet
27. ;Téléphone
28. ;Assurance habitation
29. ;Travaux
30. ;Meubles
31. ;Électroménager
32. ;Décoration
33. ;Jardin
34. ;Produits ménagers
35. ;Entretien maison
36. ;Réparations
37. ;Sécurité / Alarme
38. ;Extérieur / Terrasse
39. ;Autres
